,name,img url,ingredients,recipe,garnish,notes,url
367,Stone Wall,https://recipe.awesomedrinks.com/media/cocktails/stone_wall.jpg.300x300_q85_crop.jpg,"[{'amount': '1', 'unit': '', 'name': 'Ginger Pieces'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Aged Rum'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Apple Cider'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Ginger Beer'}]","Muddle simple syrup with ginger in a cocktail tin and then add rum, cider and ice. Top your shaker and shake for 15 seconds, double strain the contents into an ice filled rocks glass. Garnish and serve.
Dale Degroff",Slice of Apple & Lime Wedge,A zing of ginger with a nice apple flavor profile with just a hint of rum character.,https://recipe.awesomedrinks.com/recipe/stone-wall/
368,Tequila Sunrise,https://recipe.awesomedrinks.com/media/cocktails/tequila-sunrise.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Blanco Tequila'}, {'amount': '120.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Grenadine'}]","Add ice to a highball glass and add tequila and orange juice. Sink grenadine to the bottom by slowly pouring it into the drink.
source unknown",Orange Wheel / Cherry,"Citrus and agave with a light sweetness, works great with all style of tequila especially Reposado tequila.",https://recipe.awesomedrinks.com/recipe/tequila-sunrise/
369,Trinidad Sour,https://recipe.awesomedrinks.com/media/cocktails/trinidad-sour.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Angostura bitters'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Orgeat / Almond syrup'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Rye Whiskey'}]","Chill a large coupe glass with water and ice; set aside.

Add cocktail ingredients to a cocktail shaker with ice and shake for 10 seconds. Dump ice and water from your glass and strain contents of the shaker into your chilled glass.

If you fall in love with a Trinidad sour, we suggest a 16 oz bottle of angostura bitters as you'll be going through bitters quickly.
Home Cocktail Menu",None,"Bitter clove, allspice, nutmeg and other trade spices with just the right amount of balance",https://recipe.awesomedrinks.com/recipe/trinidad-sour/
370,Air Mail,https://recipe.awesomedrinks.com/media/cocktails/airmail_700x700.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Honey Syrup / Mix'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': 'null', 'unit': 'null', 'name': 'Champagne / Sparkling Wine'}]","Build all ingredients except champagne in a cocktail shaker with ice, give it a healthy 10 second shake. Strain into a coupe or Nick & Nora glass and top with champagne (at least 1.5 oz). Historically garnished with a postage stamp, probably can be skipped for this one. If possible, use a light cuban rum.
source unknown",Postage Stamp,Sweet flavors of rum and honey with a hint of champagne,https://recipe.awesomedrinks.com/recipe/air-mail/
371,Alabama Slammer,https://recipe.awesomedrinks.com/media/cocktails/alabama-slammer.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Southern Comfort'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Sloe Gin'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Amaretto'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Fresh orange juice'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds. Strain over fresh ice into a highball and serve.
source unknown",None,"Tropical sweetness of brown sugar and citrus balanced like an ""alcoholic tang."" Amaretto and orange juice combination is always a great killer flavor profile.",https://recipe.awesomedrinks.com/recipe/alabama-slammer/
372,Amaretto Sour,https://recipe.awesomedrinks.com/media/cocktails/amarillo-sour.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Amaretto'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Bourbon Whiskey'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Simple syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Egg White'}, {'amount': '1', 'unit': '', 'name': 'Luxardo Maraschino Cherry'}]","Add all ingredients into your cocktail shaker. Because we're using egg white, dry shake (with no ice) the cocktail aggressively for 20 seconds. Add ice cubes and shake for an additional 15 seconds and strain over ice. Garnish and serve!

Jeffrey Morgenthaler suggests cask strength bourbon (higher proof stuff), it's definitely a great way to cut through all the flavor and give you bourbon intensity.
Jeffrey Morgenthaler",Maraschino Cherry,Beautiful almond and oak flavor with an off-dry finish that lingers with amaretto.,https://recipe.awesomedrinks.com/recipe/amaretto-sour/
373,Amaro Manhattan,https://recipe.awesomedrinks.com/media/cocktails/amaromanhattan_700x700.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Bourbon Whiskey'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Bully Boy Amaro'}, {'amount': '2', 'unit': 'dashes', 'name': 'Orange Bitters'}, {'amount': '1', 'unit': 'dash', 'name': 'Angostura bitters'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Luxardo Maraschino Cherry Syrup'}]","Add ingredients to stirring glass with ice and stir for 30 seconds to 1 minute until well chilled. Strain into a chilled coupe glass and optionally add a Luxardo Maraschino Cherry. Adding the cherry juice to your stir is also optional, if you're looking for a bit of added sweetness.
source unknown",Luxardo Maraschino Cherry,"Bright bourbon flavor, mild sweetness with a slight bitter finish",https://recipe.awesomedrinks.com/recipe/amaro-manhattan/
374,Ankle Breaker,https://recipe.awesomedrinks.com/media/cocktails/ankle_breaker_700.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Cherry Heering Liqueur'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Overproof Rum / 151'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}]","Add all ingredients into your cocktail shaker, add crushed ice and shake for 10 seconds, dump contents into an old fashioned glass and serve.
Jeff Berry's REMIXED",None,Well balanced rum and dark smokey cherry,https://recipe.awesomedrinks.com/recipe/ankle-breaker/
375,Aperol Spritz,https://recipe.awesomedrinks.com/media/cocktails/aperol_spritz.jpg.300x300_q85_crop.jpg,"[{'amount': '90.0', 'unit': 'ml', 'name': 'Prosecco'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Aperol'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Club Soda'}]","Add ice to a wine / champagne glass and follow that up with Prosecco. Add Aperol and club soda and follow that up with your garnish and serve.
source unknown",Orange Wheel or Slice,A slight citrus sweet light fruitiness balanced against a zesty soft bitter bite,https://recipe.awesomedrinks.com/recipe/aperol-spritz/
376,Barmuda Triangle,https://recipe.awesomedrinks.com/media/cocktails/barmuda-triangle.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Rye Whiskey'}, {'amount': '22.5', 'unit': 'ml', 'name': ""Gosling's Black Seal Rum""}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Amaretto'}, {'amount': '1', 'unit': 'dash', 'name': 'Angostura bitters'}]","Add all ingredients into a cocktail shaker with ice and shake for 15 seconds. Strain into a chilled coupe glass and serve.
source unknown",None,"Dry and acidic, not too sweet, but all the flavors pair well together without anything overpowering; a bit of molasses/blackstrap, musty rye and hard to put down.",https://recipe.awesomedrinks.com/recipe/barmuda-triangle/
377,Chicago South Side,https://recipe.awesomedrinks.com/media/cocktails/chicago_southside.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'London Dry Gin'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '7', 'unit': 'dashes', 'name': 'Angostura bitters'}, {'amount': '10', 'unit': '', 'name': 'Mint Leaves'}]","Shake all ingredients vigorously in a cocktail shaker (including mint) for 10 seconds and double strain into a chilled coupe glass, garnish with 1 mint leaf.
Home Cocktail Menu",Mint Leaf,"Lovely aromatic flavor of trade spices, gin botanicals and acidity. Just a great drink.",https://recipe.awesomedrinks.com/recipe/chicago-south-side/
378,Cynar Flip,https://recipe.awesomedrinks.com/media/cocktails/cynar_flip.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Canadian Whiskey'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Cynar'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Cointreau'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Clove Simple Syrup'}, {'amount': '1', 'unit': '', 'name': 'Whole Egg'}, {'amount': '1', 'unit': 'dash', 'name': 'Bittertruth Jerry Thomas Bitters'}]","Add all ingredients to a cocktail shaker and shake aggressively for one minute and strain (or double strain) into a coupe glass.
source unknown",None,"Silky mouthfeel, lightly sweet, nice moderate bitterness",https://recipe.awesomedrinks.com/recipe/cynar-flip/
379,Daiquiri,https://recipe.awesomedrinks.com/media/cocktails/daiquiri.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '1', 'unit': 'pinch', 'name': 'Salt'}]","Add all ingredients into your cocktail shaker with ice and shake for 10 seconds. Strain into a chilled coupe glass or over ice into an old fashioned glass and enjoy. Optional garnish would include a lime twist.

We call for ""rum"", generically, because the daiquiri works with all your favorites from a light rum to an aged rum or even a Demerara rum.
Common Man Cocktails",Lime Twist,Refreshing sour bite with a lingering lime flavor with an overall backbone of beautiful rum.,https://recipe.awesomedrinks.com/recipe/daiquiri/
380,Disaronno Wears Cavalli Sour,https://recipe.awesomedrinks.com/media/cocktails/disaronno-wears-cavali-sour.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Disaronno Originale Amaretto'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Prosecco'}, {'amount': '10', 'unit': 'dashes', 'name': 'Angostura bitters'}]","Add lemon juice, simple syrup and disaronno to a cocktail shaker and shake for 10 seconds. Strain into a champagne flute and top with Prosecco. Float 10 dashes of bitters on top and garnish.
Disaronno",Orange Slice,Sweet flavor of disaronno meets prosecco with a beautiful trade spice profile of bitters.,https://recipe.awesomedrinks.com/recipe/disaronno-wears-cavalli-sour/
381,Drunken Pimento,https://recipe.awesomedrinks.com/media/cocktails/drunken-pimento.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Aged Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Spiced Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': ""Don's Spice #2""}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Ginger Ale'}]","Add all ingredients except ginger ale to a cocktail shaker with ice and shake for 15 seconds. Strain over ice into an old fashioned glass and top with ginger ale. Garnish with a lime wheel.
Derrick and Jennifer Schommer",Lime Wheel,"Rich robust flavor, pronounced aged rum, brown sugar and allspice notes with a muted clove and vanilla.",https://recipe.awesomedrinks.com/recipe/drunken-pimento/
382,East India Gimlet,https://recipe.awesomedrinks.com/media/cocktails/east-india-gimlet.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'London Dry Gin'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '2', 'unit': 'dashes', 'name': 'Celery bitters'}, {'amount': '1', 'unit': 'pinch', 'name': 'Dill'}]","Add ice and water to a coupe glass to chill and set aside. Add all ingredients to a cocktail shaker with ice and shake aggressively for 15 seconds. Dump water/ice from coupe and pour contents from your shaker into the coupe glass.

Garnish with a sprig of dill and serve.
Carl Brown, Permit Room at Dishoom King’s Cross",Dill Sprig,"Herbal dill, mild sour and floral gin components mingled together in a symphony of flavor",https://recipe.awesomedrinks.com/recipe/east-india-gimlet/
383,East Side,https://recipe.awesomedrinks.com/media/cocktails/east-side.jpg.300x300_q85_crop.jpg,"[{'amount': '6', 'unit': '', 'name': 'Mint Leaves'}, {'amount': '3', 'unit': '', 'name': 'Cucumber Slices'}, {'amount': '60.0', 'unit': 'ml', 'name': ""Hendrick's Gin""}, {'amount': '22.5', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '3', 'unit': 'dashes', 'name': 'Bittercube Trinity Bitters'}]","Muddle cucumber in the bottom of your cocktail shaker along with simple syrup and mint. Add the remaining ingredients to the shaker with ice and shake for 15 seconds. Double strain (with a tea strainer) into your glass and garnish with a mint leaf.
source unknown",Mint Leaf,Great cucumber flavor with mild mint structure with just enough gin botanicals to keep it complex yet fun.,https://recipe.awesomedrinks.com/recipe/east-side/
384,Easy Pina Colada,https://recipe.awesomedrinks.com/media/cocktails/easy-pina-colada.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '37.5', 'unit': 'ml', 'name': 'Coconut Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Vanilla Rum'}]","Add all ingredients to a cocktail shaker and shake for 15 seconds. Strain into a martini / coupe glass and serve! Easy!
source unknown",None,"It tastes like a pina colada, flavorful rum, vanilla and pineapple all in your business.",https://recipe.awesomedrinks.com/recipe/easy-pina-colada/
385,Forbidden Sour,https://recipe.awesomedrinks.com/media/cocktails/Forbidden-Sour.png.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Bourbon Whiskey'}, {'amount': '30.0', 'unit': 'ml', 'name': 'PAMA Pomegranate Liqueur'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}]","Add all ingredients into a cocktail shaker with ice and shake for 15 seconds. Strain into an old fashioned glass and add garnishes if desired.
source unknown",Cherry and Orange Wheel,Bourbon based notes with a lingering pomegranate sweet and tart,https://recipe.awesomedrinks.com/recipe/forbidden-sour/
386,Golden Cadillac,https://recipe.awesomedrinks.com/media/cocktails/golden-cadillac.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Galliano L Autentico'}, {'amount': '30.0', 'unit': 'ml', 'name': 'White Creme de Cacao'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Heavy Cream'}]","Chill a cocktail glass or Nick & Nora glass with ice and water; leave sitting while you build the drink.

Add all ingredients to a shaker tin with ice; shake for 15 seconds. Dump ice and water from your glass and strain contents of the shaker into your chilled glass; add a dusting of cinnamon on top and serve.

Or, if you're really into it, use a blender on high!
Poor Red's",Dusting of Cinnamon,"Lots of creamy flavor, like a melted Hersey's Kiss or",https://recipe.awesomedrinks.com/recipe/golden-cadillac/
387,Hemingway Daiquiri,https://recipe.awesomedrinks.com/media/cocktails/hemingway-daiquiri-3.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Maraschino Liqueur'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Simple syrup'}]","Add all ingredients to an iced cocktail shaker and shake for 15 seconds. Strain into a chilled coupe/cocktail glass and serve.

Also been called Daiquiri #3.
source unknown",None,"Light sour lime against herbal maraschino sweetness and a mild yet muted rum flavor. Easy to drink, good balance.",https://recipe.awesomedrinks.com/recipe/hemingway-daiquiri/
388,High Fashion Cocktail,https://recipe.awesomedrinks.com/media/cocktails/high-fashion-cocktail.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Gin'}, {'amount': '37.5', 'unit': 'ml', 'name': 'Elderflower Liqueur'}, {'amount': '37.5', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '2', 'unit': 'dashes', 'name': 'Rhubarb Bitters'}]","Add all ingredients into a cocktail shaker and shake for 15 seconds. Strain over ice into your glass and garnish.
source unknown",Grapefruit Peel,A ginger rhubarb mingling with some subtle elderflower notes.,https://recipe.awesomedrinks.com/recipe/high-fashion-cocktail/
389,Hotel Nacional,https://recipe.awesomedrinks.com/media/cocktails/hotel_nacional.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Apricot Brandy'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds aggressively (to build a nice pineapple foam). Strain into a chilled coupe glass and serve.

Alternatively this works great with a dark rum.
source unknown",None,"A bold rum flavor balanced against tropical pineapple and apricot, a floral slightly delicate sour",https://recipe.awesomedrinks.com/recipe/hotel-nacional/
390,Hurricane,https://recipe.awesomedrinks.com/media/cocktails/hurricane.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Dark Rum'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Passion fruit syrup'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Grenadine'}]","Add all ingredients into a cocktail shaker with ice and shake for 15 seconds. Strain into an iced Hurricane Glass or Hi-Ball. Garnish and serve.
source unknown",Orange slice and cherry,A flavorful fruit blend with a tart profile and a mild sour bite.,https://recipe.awesomedrinks.com/recipe/hurricane/
391,Java Tai,https://recipe.awesomedrinks.com/media/cocktails/java-tai.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Aged Rum'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Averna Amaro'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Black Coffee'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Orgeat / Almond syrup'}, {'amount': '1', 'unit': '', 'name': 'Whole Egg'}]","Brew strong coffee / espresso and let it cool. Add all ingredients to a cocktail shaker and ""dry shake"" (without ice) for 20 seconds aggressively. Add ice to your cocktail shaker and shake for an additional 15 seconds and strain into a chilled coupe glass.
source unknown",None,"Deliciously silky smooth coffee flavor, like a coffee milk with no alcohol taste.",https://recipe.awesomedrinks.com/recipe/java-tai/
392,Kentucky Chocolate,https://recipe.awesomedrinks.com/media/cocktails/kentucky-chocolate.jpg.300x300_q85_crop.jpg,"[{'amount': '90.0', 'unit': 'ml', 'name': 'Bourbon Whiskey'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Demerara Simple Syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Sour mix'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Chocolate Bitters'}, {'amount': '1', 'unit': '', 'name': 'Whole Egg'}]","Add all all ingredients to a cocktail shaker and dry shake (no ice) for 20 seconds aggressively. Add ice to the shaker and shake again for 15 seconds and strain over ice into an old fashioned glass.

Optionally garnish with a lemon wheel.

Works fantastic with a higher proof bourbon, we typically build with Elijah Craig Bourbon.
Jennifer Schommer",Lemon Wheel,"A creamy, silky texture with oak, vanilla and with a good deal of dark chocolate flavor; a chocolate whiskey sour of sorts.",https://recipe.awesomedrinks.com/recipe/kentucky-chocolate/
393,Kraken Hattan,https://recipe.awesomedrinks.com/media/cocktails/kraken-hatten.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Kraken Black Spiced Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Coconut Rum'}, {'amount': '90.0', 'unit': 'ml', 'name': 'Sour mix'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Luxardo Maraschino Cherry Syrup'}]","Add all ingredients (except cherry syrup) into a cocktail shaker with ice and shake for 15 seconds. Strain into a chilled coupe glass, and add cherry juice so it sinks to the bottom. Garnish and serve.
source unknown",Luxardo Maraschino Cherry,Sweet and sour cherry flavor with molasses and trade spices.,https://recipe.awesomedrinks.com/recipe/kraken-hattan/
394,Lion's Tail,https://recipe.awesomedrinks.com/media/cocktails/lions-tail.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Bourbon Whiskey'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Allspice dram / liqueur'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Simple syrup'}, {'amount': '2', 'unit': 'dashes', 'name': 'Angostura bitters'}]","Add all your ingredients to a cocktail shaker with ice and give it a hardy shake for 15 seconds, strain into a coupe glass or nick and nora glass. Garnish with a slice of orange or other citrus.
The Café Royal Cocktail Book (1937)",Citrus Peel/Slice,"An off-dry flavor of bourbon, allspice finish that's well balanced with acidity.",https://recipe.awesomedrinks.com/recipe/lions-tail/
395,Mai Tai,https://recipe.awesomedrinks.com/media/cocktails/mai-tai.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Dark Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Martinique Rhum / Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Orgeat / Almond syrup'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Orange Curaçao'}]","Add all ingredients to an iced cocktail shaker and shake for 10-15 seconds. Pour into your glass over crushed ice and garnish.

Note: No amber (aged) Martinique Rum & Dark Jamaican Rum? We suggest using a standard aged rum in the recipe as a substitution. So, instead of 1 oz / 30 ml of two rums, do 2 oz / 60 ml of your aged rum instead (Denizen Merchant's Reserve Rum is perfect for this recipe).
Trader Vic Bergeron via Beach Bum Berry Remixed",Sink hulled lime into drink; add mint sprig,"Lovely blend of rich flavorful rum, almond and mint with lingering citrus kick.",https://recipe.awesomedrinks.com/recipe/mai-tai/
396,Manchester Cocktail,https://recipe.awesomedrinks.com/media/cocktails/manchester_cocktail.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'London Dry Gin'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Cocktail & Sons Oleo Saccharum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '2', 'unit': 'dashes', 'name': 'Hella Bitters Citrus'}]","Shake all ingredients in a cocktail shaker for 15 seconds. Strain into a chilled Nick & Nora, garnish with a lime wheel and serve.
AwesomeDrinks.com",Lime Wheel,"Sweet and tart grapefruit, zesty citrus and lingering juniper notes; finishes dry and tart.",https://recipe.awesomedrinks.com/recipe/manchester-cocktail/
397,Margarita,https://recipe.awesomedrinks.com/media/cocktails/margarita.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Tequila'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Agave nectar'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Orange Liqueur'}]","Add all ingredients into your cocktail shaker with ice. Shake for 15 seconds and strain over ice into an old fashioned glass and garnish. Optionally, rim your glass with salt.

For a slightly sweeter experience, utilize crushed ice to chill down the cocktail faster and colder. For a more sour experience, tailer back your agave nectar by a quarter ounce (or 7.5ml).
Common Man Cocktails",Lime Wheel,"Agave forward flavor, mingled with citrus and bright tequila notes.",https://recipe.awesomedrinks.com/recipe/margarita/
398,Mojito,https://recipe.awesomedrinks.com/media/cocktails/mojito.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '2', 'unit': 'barspoons', 'name': 'Casters sugar (superfine sugar)'}, {'amount': '12', 'unit': '', 'name': 'Mint Leaves'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Club Soda'}]","Add your lime wedges and sugar to your tall glass, and muddle them together. Slap ('spank') your mint and add it into your glass over your muddled lime and sugar. Give it a gentle muddle without tearing your mint.

Add crushed ice over the ingredients until you're about halfway up the glass. Then top with light rum and integrate the ingredients by stirring with a bar spoon.

Top with additional crushed ice and top with club soda. Add your garnish and a straw and serve.
source unknown",Mint Sprig,Light and refreshing sweet mint and sour lime bite with a light rum backend flavor.,https://recipe.awesomedrinks.com/recipe/mojito/
399,Norwegian Wood,https://recipe.awesomedrinks.com/media/cocktails/Norwegian_Wood.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Aquavit'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Apple Brandy'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Sweet Vermouth'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Yellow Chartreuse'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Angostura bitters'}]","Add ingredients to a mixing glass with ice and stir for 30 seconds. Strain into a chilled cocktail / coupe glass and garnish with a lemon peel.
Jeffrey Morgenthaler",Lemon Peel,"Moderately bitter, mildly herbal, and dry finish",https://recipe.awesomedrinks.com/recipe/norwegian-wood/
400,Oaxacan Dead,https://recipe.awesomedrinks.com/media/cocktails/oaxacan-dead.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Mezcal'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Reposado Tequila'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Falernum Syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Cinnamon syrup'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Chambord / Raspberry Liqueur'}, {'amount': '1', 'unit': 'dash', 'name': 'Pernod / Absinthe'}, {'amount': '1', 'unit': 'dash', 'name': 'Angostura bitters'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}]","Build in a tall glass and swizzle with crushed ice. Optionally, garnish with umbrella picked cherry and lime wheel.
source unknown",Cherry & Lime Wheel,"Smokey Sweet Candy (aka ""nana candy""); easy to drink, slightly unique flavor profile that's hard to pickup. Great smoky profile and sweeter flavors.",https://recipe.awesomedrinks.com/recipe/oaxacan-dead/
